address	restaurant	review occur	avg Star
AZ 85004,120 E Taylor St Ste 150 Phoenix	Hsin Cafe	1	4.0
AZ 85004,905 N 4th St Phoenix	Fate 905	2	2.5
AZ 85008,5030 E McDowell Rd Phoenix	Asia Lee Chinese Restaurant	5	3.0
AZ 85008,668 N 44th ST Ste 112 Phoenix	Beijing Garden Chinese	1	4.0
AZ 85008,668 N 44th St Phoenix	Hong Kong Express	2	3.0
AZ 85008,668 N 44th St Phoenix	Golden Buddha	18	3.56
AZ 85008,Cofco Chinese Cultural Ctr 668 N 44th St Phoenix	Lao Ching Hing	9	3.22
AZ 85012,302 E Flower St Phoenix	China Chili	3	3.67
AZ 85012,4236 N Central Ave Phoenix	The Clever Koi	36	4.0
AZ 85015,1502 W Thomas Rd Phoenix	Mu Shu Asian Grill	1	5.0
AZ 85015,1520 W Indian School Rd Ste 1 Phoenix	Lucky Kitchen	1	2.0
AZ 85015,1534 W Camelback Rd Phoenix	Peter Wong Chinese Restaurant	1	2.0
AZ 85015,1950 W Indian School Road Phoenix	Yin's Chinese Resturant	1	5.0
AZ 85016,6048 N 16th St Phoenix	Golden Phoenix Chinese Restaurant	2	2.0
AZ 85017,5057 N 35th Ave Phoenix	Great Wall Cuisine	24	4.0
AZ 85018,3215 E Indian School Rd Phoenix	Desert Jade	2	3.5
AZ 85018,3752 E Indian School Rd Phoenix	Autumn Court Chinese Restaurant	1	5.0
AZ 85020,1212 E Northern Ave Phoenix	Super Dragon	1	4.0
AZ 85021,8056 N 19th Ave Phoenix	Wahsun Chinese Restaurant	2	3.5
AZ 85021,8115 N 19th Ave Phoenix	Chen Wok Express	1	4.0
AZ 85022,267 E Bell Rd. Suite 1 Phoenix	Pei Wei Asian Diner	1	4.0
AZ 85022,350 E Bell Rd Ste 3 Phoenix	Flamingo Palace	3	3.0
AZ 85022,502 E Thunderbird Rd Phoenix	Bamboo House	2	1.0
AZ 85023,1512 W Bell Rd Ste 7 Phoenix	Tasty House Chinese Restaurant	1	4.0
AZ 85023,15414 N 19th Ave Ste K Phoenix	Chino Bandido	1	2.0
AZ 85023,601 W Bell Rd Phoenix	New China Super Buffet	2	3.0
AZ 85024,814 E Union Hills Dr Ste C-14 Phoenix	Dragon Bowl	1	5.0
AZ 85027,3049 W Agua Fria Fwy Ste B-3 Phoenix	Bamboo Grille	1	2.0
AZ 85028,10608 N 32nd St Phoenix	Little Peking	1	4.0
AZ 85029,10627 N 19th Ave Phoenix	Mister Wong	2	5.0
AZ 85029,2855 W Cactus Rd Phoenix	Shangri-La Chinese	2	4.5
AZ 85032,13636 N Tatum Blvd Ste 10 Phoenix	Go Go China	1	1.0
AZ 85032,13825 N 32nd St Phoenix	Dragon Palace	3	4.33
AZ 85032,13843 N Tatum Blvd Ste 15 Phoenix	Nee House Chinese Restaurant	1	4.0
AZ 85032,3202 E Greenway Rd Phoenix	E-Z Buffet	1	3.0
AZ 85033,2929 N 75th Ave Phoenix	Hibachi Grill & Supreme Buffet	2	2.5
AZ 85034,Sky Harbor International Airport Terminal 4 Phoenix	Flo's Shanghai Cafe	1	2.0
AZ 85037,9140 W Thomas Rd Ste B103 Phoenix	Yan's Chinese Food #2	1	4.0
AZ 85041,6260 S 35th Ave Phoenix	Li's Bowl	1	3.0
AZ 85042,2485 E Baseline Rd Ste 157 Phoenix	Pan Asia Sushi Chinese Fusion	1	3.0
AZ 85044,3646 E Ray Rd Ste 12 Phoenix	Great Wok	1	5.0
