Topic: 0
went : 0.275843295154
lunch : 0.246375339089
gyro : 0.0609107069287
food : 0.0601839048983
little : 0.0600369375283
greek : 0.0595376686339
pita : 0.059459525937
small : 0.0593043565617
fries : 0.0591871969411
going : 0.0591610683287
Topic: 1
food : 0.167955102507
greek : 0.160643774826
small : 0.147608980169
gyro : 0.114842693524
little : 0.104387317946
lunch : 0.104379954643
pita : 0.0760233944116
fries : 0.062699460704
went : 0.0307907691576
going : 0.0306685521118
Topic: 2
food : 0.192977387609
little : 0.173179809833
going : 0.140963598886
gyro : 0.128636332345
went : 0.0891039178185
pita : 0.0826816563708
greek : 0.0815664138525
lunch : 0.0374183594045
small : 0.0367403595123
fries : 0.0367321643685
Topic: 3
gyro : 0.206533986384
fries : 0.163185194145
pita : 0.114785843
went : 0.0931519483575
going : 0.0928419577562
little : 0.0851612513596
lunch : 0.0850739417713
small : 0.0660158463122
greek : 0.0616637337616
food : 0.0315862971528
Topic: 4
gyro : 0.101991024961
lunch : 0.10057490297
went : 0.100467315767
food : 0.100171965465
little : 0.100146175921
greek : 0.0996645908636
going : 0.0994568845043
pita : 0.0993487433459
fries : 0.099153141261
small : 0.0990252549419
