dish	Avg.Star
shish kabob	5.0
lazy sunday	5.0
sports game	5.0
lentil soup	5.0
grilled tomato	5.0
pea puree	5.0
chinese chicken salad	5.0
lamian	5.0
yui shan	5.0
braised abalone	5.0
amuse bouche	5.0
brussels sprout	5.0
middle eastern	5.0
humble pie	5.0
lasagne	5.0
chicken garlic	5.0
bolognese sauce	5.0
lamb tender	5.0
lactose intolerant	5.0
profiterole	5.0
indian cuisine	5.0
bruschetta	5.0
cave creek	5.0
rock candy	5.0
chickpeas	5.0
ghari	5.0
pappardelle	5.0
middle east	5.0
cherry blossom	5.0
sopa	5.0
short rib tacos	5.0
fish fry	5.0
granita	5.0
capers	5.0
spring training	4.75
strudel	4.67
thai cuisine	4.67
free range	4.67
samosa	4.67
absolutely fabulous	4.6
pesto	4.56
mexican cuisine	4.5
root beer	4.5
grilled lamb	4.5
butternut squash	4.5
momo	4.5
casa grande	4.5
deep fried fish	4.5
hard rock	4.5
frou frou	4.5
chicken fried steak	4.5
duck confit	4.5
shiro	4.5
cream pie	4.5
bobo brazil	4.5
game hen	4.5
sunday brunch	4.5
cantonese restaurant	4.5
powdered sugar	4.44
cotton candy	4.43
crispy kau	4.4
fennel	4.4
panna cotta	4.4
beef carpaccio	4.38
red velvet cake	4.38
condensed milk	4.36
shaved ice	4.36
low carb	4.36
butter chicken	4.33
key lime pie	4.33
clam chowder	4.33
cirque du soleil	4.33
and a lemon	4.33
potato salad	4.33
sea salt	4.28
ribeye	4.28
vanilla ice	4.26
grilled vegetables	4.25
blue cheese	4.25
freshly squeezed	4.25
classic rock	4.25
the gai lan	4.25
vanilla ice cream	4.24
bone marrow	4.23
food truck	4.23
kabobs	4.22
shrimp soup	4.21
spinach salad	4.2
finger food	4.2
ginger beef	4.2
truffle	4.2
neo tokyo	4.2
passion fruit	4.19
lotus root	4.18
great taste	4.18
kobe beef	4.18
buffalo wings	4.17
san francisco	4.17
grilled octopus	4.17
pulled pork	4.17
bitter melon	4.16
red bean soup	4.15
foie gras	4.15
beef tenderloin	4.12
kabob	4.1
eggs benedict	4.1
white chocolate	4.09
sea bass	4.08
twice cooked pork	4.08
carrot cake	4.08
whipped cream	4.08
clay pots	4.08
great wall	4.06
xo sauce	4.06
roti canai	4.05
roti	4.04
filet mignon	4.03
date night	4.03
flip flops	4.0
clam sauce	4.0
beans and rice	4.0
light rail	4.0
